Wrong,Correct,Effective
Burma,Myanmar,Myanmar
Cabo Verde ,Cape Verde,Cape Verde
Czechia,Czech Republic,Czech Republic
Holy See,Vatican,Vatican
Korea South,South Korea,South Korea
"Korea, South",South Korea,South Korea
"South, Korea",South Korea,South Korea
North Macedonia ,Macedonia,Macedonia
Taiwan*,Taiwan,Taiwan
US,United States,United States
U.S.,United States,United States
U.S,United States,United States
U S,United States,United States
US ,United States,United States
Congo (Brazzaville),Congo,Dem. Rep. Congo
Congo (Kinshasa),Congo,Dem. Rep. Congo
CÃƒÂ´te d'Ivoire,Cote d'Ivoire,Cote d'Ivoire
Czech Republic (Czechia),Czech Republic,Czech Republic
DR Congo,Democratic Republic of Congo,Dem. Rep. Congo
Saint Kitts & Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
St. Vincent & Grenadines,Saint Vincent and Grenadines,Saint Vincent and Grenadines
Timor-Leste,Timor,Timor
State of Palestine,West Bank and Gaza,West Bank and Gaza
Palestine,West Bank and Gaza,West Bank and Gaza
American Samoa,American Samoa,United States
United States Minor Outlying Islands,United States Minor Outlying Islands,United States
Cook Islands,Cook Islands,New Zealand
French Polynesia,French Polynesia,France
Niue,Niue,New Zealand
Pitcairn,Pitcairn,United Kingdom
Samoa,Samoa,Samoa
Tokelau,Tokelau,New Zealand
Tonga,Tonga,Tonga
Wallis and Futuna,Wallis and Futuna,France
El Salvador,El Salvador,El Salvador
Guatemala,Guatemala,Guatemala
Mexico,Mexico,Mexico
Canada,Canada,Canada
Argentina,Argentina,Argentina
Falkland Islands,Falkland Islands,United Kingdom
Chile,Chile,Chile
Ecuador,Ecuador,Ecuador
Peru,Peru,Peru
Bolivia,Bolivia,Bolivia
Brazil,Brazil,Brazil
Paraguay,Paraguay,Paraguay
Uruguay,Uruguay,Uruguay
South Georgia and South Sandwich Islands,South Georgia and South Sandwich Islands,United Kingdom
Antarctica,Antarctica,Antarctica
Fiji,Fiji,Fiji
Saint Helena,Saint Helena,United Kingdom
Anguilla,Anguilla,United Kingdom
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Aruba,Aruba,Aruba
Bahamas,Bahamas,Bahamas
Barbados,Barbados,Barbados
Belize,Belize,Belize
Bermuda,Bermuda,United Kingdom
Bonaire,Bonaire,Netherlands
British Virgin Islands,British Virgin Islands,United Kingdom
Cayman Islands,Cayman Islands,United Kingdom
Colombia,Colombia,Colombia
Costa Rica,Costa Rica,Costa Rica
Cuba,Cuba,Cuba
Curacao,Curacao,Netherlands
Dominica,Dominica,Dominica
Dominican Republic,Dominican Republic,Dominican Republic
French Guiana,French Guiana,France
Grenada,Grenada,Grenada
Guadeloupe,Guadeloupe,France
Guyana,Guyana,Guyana
Haiti,Haiti,Haiti
Honduras,Honduras,Honduras
Jamaica,Jamaica,Jamaica
Martinique,Martinique,France
Montserrat,Montserrat,United Kingdom
Nicaragua,Nicaragua,Nicaragua
Panama,Panama,Panama
Puerto Rico,Puerto Rico,United States
Saba,Saba,Netherlands
Saint Barthelemy,Saint Barthelemy,France
Saint Eustatius,Saint Eustatius,Netherlands
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia,Saint Lucia
Saint Martin,Saint Martin,France
Saint Pierre and Miquelon,Saint Pierre and Miquelon,France
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Sint Maarten,Sint Maarten,Netherlands
Suriname,Suriname,Suriname
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Turks and Caicos Islands,Turks and Caicos Islands,United Kingdom
US Virgin Islands,US Virgin Islands,United States
Venezuela,Venezuela,Venezuela
Burkina Faso,Burkina Faso,Burkina Faso
Cabo Verde,Cabo Verde,Cabo Verde
CÃ´te d'Ivoire,CÃ´te d'Ivoire,CÃ´te d'Ivoire
Gambia,Gambia,Gambia
Ghana,Ghana,Ghana
Gibraltar,Gibraltar,United Kingdom
Guinea,Guinea,Guinea
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Liberia,Liberia,Liberia
Mali,Mali,Mali
Mauritania,Mauritania,Mauritania
Morocco,Morocco,Morocco
Portugal,Portugal,Portugal
Senegal,Senegal,Senegal
Sierra Leone,Sierra Leone,Sierra Leone
Greenland,Greenland,Denmark
Guernsey,Guernsey,United Kingdom
Ireland,Ireland,Ireland
Isle of Man,Isle of Man,United Kingdom
Jersey,Jersey,United Kingdom
United Kingdom,United Kingdom,United Kingdom
Iceland,Iceland,Iceland
Faroe Islands,Faroe Islands,Denmark
Svalbard,Svalbard,Norway
Bouvet Island,Bouvet Island,Norway
New Zealand,New Zealand,New Zealand
Angola,Angola,Angola
Botswana,Botswana,Botswana
Burundi,Burundi,Burundi
Comoros,Comoros,Comoros
Congo,Congo,Congo
Congo DRC,Democratic Republic of Congo,Congo DRC
Gabon,Gabon,Gabon
Kenya,Kenya,Kenya
Lesotho,Lesotho,Lesotho
Malawi,Malawi,Malawi
Juan De Nova Island,Juan De Nova Island,France
Mozambique,Mozambique,Mozambique
Namibia,Namibia,Namibia
Rwanda,Rwanda,Rwanda
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
South Africa,South Africa,South Africa
Eswatini,Eswatini,Eswatini
Tanzania,Tanzania,Tanzania
Zambia,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe
British Indian Ocean Territory,British Indian Ocean Territory,United Kingdom
French Southern Territories,French Southern Territories,France
Heard Island and McDonald Islands,Heard Island and McDonald Islands,Australia
Madagascar,Madagascar,Madagascar
Mauritius,Mauritius,Mauritius
Mayotte,Mayotte,France
Glorioso Islands,Glorioso Islands,France
RÃ©union,RÃ©union,France
Seychelles,Seychelles,Seychelles
Algeria,Algeria,Algeria
Benin,Benin,Benin
Cameroon,Cameroon,Cameroon
Central African Republic,Central African Republic,Central African Republic
Chad,Chad,Chad
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Kiribati,Kiribati,Kiribati
Libya,Libya,Libya
Malta,Malta,Malta
Niger,Niger,Niger
Nigeria,Nigeria,Nigeria
Togo,Togo,Togo
Tunisia,Tunisia,Tunisia
Cyprus,Cyprus,Cyprus
Djibouti,Djibouti,Djibouti
Egypt,Egypt,Egypt
